#OTU ID	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1	Taxonomy
OTU330	13.0	7.0	3.0	7.0	0.0	0.0	1.0	0.0	22.0	12.0	46.0	35.0	94.0	3.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3300	13.0	0.0	3.0	0.0	22.0	3.0	4.0	3.0	0.0	2.0	3.0	3.0	0.0	0.0	6.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3301	0.0	1.0	0.0	0.0	212.0	13.0	12.0	0.0	0.0	0.0	11.0	2.0	6.0	0.0	196.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3302	2.0	8.0	31.0	9.0	57.0	44.0	16.0	6.0	2.0	3.0	14.0	25.0	20.0	6.0	22.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU3303	0.0	0.0	0.0	0.0	39.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	9.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3304	47.0	31.0	15.0	14.0	32.0	117.0	112.0	35.0	23.0	57.0	127.0	38.0	30.0	34.0	23.0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae
OTU3307	49.0	13.0	59.0	10.0	96.0	1.0	11.0	9.0	1.0	12.0	0.0	5.0	5.0	5.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU3309	19.0	1.0	96.0	0.0	165.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	74.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3310	0.0	0.0	0.0	0.0	30.0	8.0	6.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	26.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV
OTU3311	0.0	0.0	0.0	0.0	30.0	0.0	1.0	0.0	0.0	0.0	28.0	4.0	6.0	0.0	5.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb
OTU3312	0.0	0.0	0.0	0.0	20.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3313	2.0	0.0	7.0	0.0	58.0	0.0	0.0	0.0	0.0	19.0	2.0	0.0	1.0	0.0	19.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
