OTU ID	normal_1	normal_2	normal_3	normal_4	normal_5	betaine_1	betaine_2	betaine_3	betaine_4	betaine_5	model_1	model_2	model_3	model_4	model_5	Taxonomy
OTU132	0.0	0.0	29.0	2.0	1.0	97.0	11.0	36.0	170.0	1123.0	0.0	0.0	48.0	10.0	71.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
OTU13	100.0	483.0	2235.0	253.0	113.0	1086.0	1958.0	1268.0	1090.0	535.0	460.0	285.0	664.0	1124.0	1088.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU119	0.0	33.0	6.0	288.0	56.0	2.0	2.0	4.0	1.0	1.0	187.0	11293.0	7.0	5.0	5.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU107	40.0	24.0	32.0	89.0	11.0	84.0	84.0	299.0	92.0	1068.0	95.0	41.0	179.0	30.0	208.0	k__Bacteria;p__Firmicutes;c__Clostridia
OTU55	2.0	4.0	134.0	23.0	23.0	6.0	43.0	88.0	12.0	5.0	17.0	1339.0	114.0	424.0	132.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU112	74.0	47.0	20.0	220.0	142.0	204.0	227.0	75.0	65.0	19.0	240.0	49.0	450.0	64.0	185.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU124	0.0	28.0	3.0	44.0	3.0	1.0	1.0	2.0	0.0	25.0	32.0	687.0	128.0	90.0	33.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU123	664.0	2.0	7.0	8.0	0.0	2.0	0.0	0.0	61.0	40.0	2287.0	33.0	0.0	4.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU69	0.0	149.0	151.0	391.0	186.0	1978.0	974.0	541.0	153.0	42.0	3991.0	2095.0	909.0	746.0	771.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU126	4.0	28.0	116.0	391.0	33.0	142.0	1.0	1.0	60.0	10.0	40.0	6.0	49.0	99.0	22.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU86	0.0	382.0	28.0	145.0	2.0	12.0	367.0	479.0	3.0	23.0	911.0	25.0	1811.0	152.0	500.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU130	131.0	95.0	249.0	169.0	284.0	96.0	69.0	163.0	356.0	683.0	32.0	3.0	76.0	152.0	162.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU109	472.0	257.0	5.0	145.0	1159.0	4.0	2.0	2.0	137.0	47.0	8.0	16.0	2.0	1.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU26	0.0	47.0	260.0	63.0	7.0	76.0	226.0	139.0	478.0	213.0	72.0	10.0	224.0	61.0	313.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella
OTU128	0.0	307.0	58.0	36.0	3.0	4.0	0.0	0.0	4.0	0.0	784.0	0.0	119.0	93.0	39.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU22	0.0	141.0	390.0	140.0	69.0	1785.0	1403.0	1281.0	1613.0	781.0	51.0	13.0	597.0	531.0	729.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU103	361.0	96.0	1.0	21.0	588.0	0.0	2.0	1.0	0.0	1.0	313.0	2.0	70.0	55.0	21.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU70	0.0	143.0	41.0	228.0	6.0	25.0	607.0	269.0	0.0	64.0	421.0	5.0	103.0	63.0	213.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU134	0.0	7.0	24.0	0.0	0.0	83.0	34.0	10.0	351.0	216.0	0.0	1.0	44.0	3.0	45.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
OTU36	2228.0	957.0	174.0	876.0	1107.0	946.0	78.0	159.0	46.0	2.0	164.0	101.0	19.0	988.0	85.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU88	108.0	248.0	32.0	149.0	262.0	1.0	0.0	2.0	92.0	5.0	0.0	12.0	4.0	98.0	4.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU10	872.0	876.0	610.0	658.0	1130.0	2407.0	471.0	362.0	969.0	797.0	160.0	53.0	268.0	297.0	491.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
OTU101	48.0	200.0	57.0	310.0	276.0	181.0	231.0	256.0	111.0	175.0	605.0	376.0	248.0	900.0	122.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU91	0.0	11.0	7.0	2.0	3.0	2.0	2.0	1.0	5.0	13.0	7.0	29.0	1950.0	12.0	973.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU96	878.0	34.0	39.0	205.0	101.0	123.0	55.0	28.0	25.0	860.0	124.0	47.0	152.0	29.0	165.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU67	5.0	3.0	0.0	11.0	5.0	308.0	6.0	30.0	1462.0	35.0	1.0	0.0	15.0	1.0	0.0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
OTU2	957.0	60.0	28.0	3354.0	154.0	1741.0	188.0	530.0	1061.0	238.0	784.0	522.0	798.0	78.0	203.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
OTU68	0.0	8.0	36.0	0.0	2.0	8.0	0.0	18.0	961.0	206.0	1.0	10.0	7.0	3.0	4.0	k__Bacteria;p__Proteobacteria
OTU72	0.0	732.0	259.0	2524.0	8.0	1921.0	1312.0	1961.0	3546.0	20.0	1492.0	1412.0	4273.0	766.0	2132.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU84	131.0	69.0	57.0	76.0	126.0	872.0	331.0	65.0	246.0	118.0	86.0	99.0	86.0	106.0	28.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter
OTU25	143.0	550.0	661.0	268.0	316.0	265.0	489.0	345.0	773.0	294.0	88.0	137.0	125.0	327.0	411.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU27	216.0	2891.0	2414.0	126.0	1051.0	3316.0	1077.0	1027.0	825.0	995.0	770.0	816.0	525.0	1350.0	1274.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU51	771.0	1023.0	2.0	492.0	1520.0	7.0	4.0	1.0	0.0	2.0	1.0	3.0	1.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides
OTU114	1408.0	61.0	0.0	404.0	662.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter
OTU62	0.0	17.0	74.0	10.0	1.0	17.0	677.0	565.0	1845.0	26.0	2.0	1.0	1206.0	45.0	902.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU60	61.0	4.0	4.0	6.0	2.0	0.0	1.0	8.0	466.0	18.0	11.0	2.0	14.0	0.0	2.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU48	38.0	95.0	120.0	349.0	75.0	162.0	341.0	114.0	280.0	74.0	109.0	12.0	36.0	98.0	49.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
OTU125	1053.0	6.0	1.0	8.0	24.0	1.0	6.0	1.0	2.0	2.0	20.0	3.0	49.0	7.0	6.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU45	172.0	443.0	275.0	208.0	341.0	921.0	175.0	122.0	280.0	142.0	40.0	30.0	65.0	229.0	180.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU113	223.0	55.0	0.0	10.0	528.0	2.0	2.0	0.0	0.0	4.0	1.0	2.0	4.0	0.0	2.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU49	258.0	818.0	0.0	1380.0	633.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU44	328.0	149.0	2.0	323.0	339.0	15.0	1.0	13.0	32.0	26.0	2.0	3.0	4.0	8.0	7.0	k__Bacteria;p__Bacteroidetes
OTU24	37.0	193.0	687.0	121.0	109.0	98.0	333.0	421.0	258.0	332.0	146.0	103.0	316.0	189.0	467.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
